爱好,小众程度,入坑时间,总花销,领域内程度等级,领域内程度描述,每日时长,金钱投入门槛,时间投入门槛,社会认知程度描述,社会认知程度等级
台式机DIY,,1~3年,2k,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门1k  精通5w+,入门 1周   精通 半年,无须作答,
NBA球衣,,1~3年,5W,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,这个全看个人喜好，入门十件大概7k，精髓百件,不需要太多,3 - 不高不低,3
捡漏,在各种QQ群，微信群薅羊毛,1~3年,500,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,只需时间,1-2年,,
足球,,1~3年,1000,萌新入门阶段，还在摸索学习,1,1~3小时,500 5000,几个月练吧,,
东方project,是日本zun做的游戏，衍生出来的同人作品。,1~3年,0（因为这个事影视作品）,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,一年左右,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
看虚拟主播,不小众,1~3年,300（理性消费）,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,10000+,大概1个月以上？不清楚,无须作答,
观察人类,我喜欢看各个人的各种样子，进行猜测和论证,5~10年,两万以上吧（？）,感觉这只是个人享受性一类,,>6小时,你可以选择投入，也可以选择不投入,6年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
手办和高达,收集喜欢的手办和拼喜欢的高达机体,3~5年,40000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门几百块就可以玩的很开心，更进阶的话就几千到上万吧,收集手办的话周期比较长，毕竟要等补款，大概需要一年吧，高达的话看个人理解，素组玩家可以很快的进步，到后来上漆改装什么的还是需要很多实战经验积累的,3 - 不高不低,3
潮流玩具,,>10年,100000以上？,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,20000？,慢慢来一年？,3 - 不高不低,3
摄影,,3~5年,150000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,50000,2年,,
白嫖,不仅仅是下次一定,>10年,0,萌新入门阶段，还在摸索学习,1,>6小时,0,一辈子,,
羽毛球,打羽毛球嘛,<1年,两千块左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,"几千吧
打一年光羽毛球球的钱就很多 再说好的一桶得一两百",持续下来四五年吧,5 - 广为人知，老少咸宜的全民爱好,5
虚拟主播,你不应该比我懂吗，然然,1~3年,大会员白嫖一个月5块打赏，一年60,萌新入门阶段，还在摸索学习,1,<1小时,不需要,总得恶补一些梗，要不然看不懂,2,2
战锤40k,模型制作涂装对战,1~3年,50000,萌新入门阶段，还在摸索学习,1,<1小时,1000-正无穷,两年,,
摄影,,3~5年,15000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,10000      100000,0.5 年    3年,无须作答,
龙舌兰植物,不同种类的原生龙舌兰植物或人工杂交龙舌兰植物,5~10年,3000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门2000  精通5000,入门1年  精通3-5年,2,2
k-pop,,1~3年,300,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1000？,几年,3 - 不高不低,3
彩墨,不同的墨水会在阳光下产生不同的颜色层析，可以用来做色卡扇子书签等等，也可以改变钢笔里墨水的颜色,1~3年,700,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,100  ；600+,一天；三个月,3 - 不高不低,3
配音,,<1年,2700,萌新入门阶段，还在摸索学习,1,<1小时,不能确定,1年,3 - 不高不低,3
收集Q版香水,,1~3年,2k,萌新入门阶段，还在摸索学习,1,<1小时,不太知道,不太知道,,
MADAMV,看的欣赏，做的头秃，接触到新的东西就要去学习，比如说建模，动画，写剧本，创作什么的很多东西,<1年,基本为0,萌新入门阶段，还在摸索学习,1,3~6小时,可能升级电脑这就不好说了,熟练大概得两三年罢,3 - 不高不低,3
机械键盘,各种键帽轴体套件声乐棉金属塑料亚克力的奇妙搭配,<1年,3000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1000～5000；数w~无上限,一周；数月～数年（一套gmk键帽从预售到收货2年左右）；自行设计键盘数年 因为需要学习的知识太多,2,2
摩旅,骑着摩托去旅行，欣赏各地风景，人情,1~3年,w上下,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,精通不一定需要很多钱，更多的是投入精力和时间,可能需要独立完成两个摩旅吧，野外扎营那种,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
